super_opeid,name,region,state,tier_name,type,exp_instr_pc_2013,ipeds_enrollment_2013,sticker_price_2013,scorecard_netprice_2013,grad_rate_150_p_2013,avgfacsal_2013,sat_avg_2013,endowment_pc_2000
12574,Ringling College Of Art & Design,3,FL,Nonselective four-year private not-for-profit,2,13563.383,1253,40040,40140,0.6494845360824743,8143,NA,NA
3884,Ripon College,2,WI,Selective private,2,11101.487,904,33482,19686,0.7404580152671755,6468,1140,NA
2586,Rivier University,1,NH,Selective private,2,5299.8389,1591,28875,17923,0.5906976744186047,6599,965,NA
3736,Roanoke College,3,VA,Selective private,2,10857.533,2029,38052,19681,0.6424778761061947,7327,1095,NA
3359,Robert Morris University,1,PA,Selective private,2,6787.5767,4496,26054,17901,0.5587349397590361,9890,1055,NA
1746,Robert Morris University Illinois,2,IL,Nonselective four-year private not-for-profit,2,3822.8206,2781,23700,20441,0.9770491803278688,6485,NA,NA
2805,Roberts Wesleyan College,1,NY,Selective private,2,8156.1733,1315,28068,14844,0.6056910569105691,6293,1055,NA
2806,Rochester Institute Of Technology,1,NY,Selective private,2,13289.173,13880,35768,20818,0.6598073555166374,9621,1215,NA
1748,Rockford University,2,IL,Selective private,2,4742.8086,972,27530,20145,0.3947368421052632,5567,985,NA
2499,Rockhurst University,2,MO,Selective private,2,4860.5176,2241,32865,15955,0.6920980926430518,6863,1142.5,NA
2534,Rocky Mountain College,4,MT,Selective private,2,6729.333,988,24530,15505,0.4033149171270719,5787,990,NA
3410,Roger Williams University,1,RI,Selective private,2,12759.647,4411,31750,23994,0.6254789272030651,11045,NA,NA
